id,Street,Housenumber,Box,Floor,City,Postalcode,Property type,Region,District,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score,Latitude,Longitude
10538670,Borsu,37,0,0.0,BORSU,4560,0,WALLONIE,Huy,HOUSE,299000.0,residential_sale,1875.0,4.0,198.0,0,0,True,True,True,1556.0,4.0,0,TO_BE_DONE_UP,F,50.3882529,5.3206903
10479790,Schijfstraat,61,0,0.0,Antwerp,2020,URBAN,FLANDERS,Antwerp,HOUSE,319000.0,residential_sale,2012.0,3.0,138.0,HYPER_EQUIPPED,False,False,True,True,75.0,2.0,False,AS_NEW,B,51.1902045,4.3753198
10455267,Afrikalaan,6,0,0.0,Scherpenheuvel-Zichem,3270,COUNTRY,FLANDERS,Leuven,HOUSE,299000.0,residential_sale,1980.0,3.0,195.0,USA_INSTALLED,False,False,True,0,679.0,4.0,False,GOOD,C,50.9699025,4.9675496
10584183,Brusselsesteenweg,315,0,0.0,Gentbrugge,9050,RESIDENTIAL,FLANDERS,Gent,HOUSE,299000.0,residential_sale,0.0,2.0,120.0,INSTALLED,False,False,True,0,66.0,2.0,0,TO_RENOVATE,D,51.0378576,3.7488087
10525611,Rue des Bouchers,14,0,0.0,Martelange,6630,0,WALLONIE,Arlon,HOUSE,300000.0,residential_sale,0.0,7.0,297.0,INSTALLED,0,True,0,True,183.0,3.0,0,GOOD,E,49.8321582,5.740807
10508576,Krommestraat,30,0,0.0,BLAASVELD,2830,0,FLANDERS,Mechelen,HOUSE,299000.0,residential_sale,1965.0,3.0,174.0,SEMI_EQUIPPED,0,True,True,True,365.0,3.0,0,TO_BE_DONE_UP,F,51.0543434,4.3772766
10459200,Rozenstraat,4,0,0.0,Sint-Lenaarts,2960,0,FLANDERS,Antwerp,HOUSE,299000.0,residential_sale,1957.0,3.0,197.0,SEMI_EQUIPPED,0,True,True,0,241.0,2.0,0,TO_RENOVATE,F,51.3467957,4.6765042
10625352,Molenstraat,166,0,0.0,Dilbeek Sint-Martens-Bodegem,1700,URBAN,FLANDERS,Halle-Vilvoorde,HOUSE,315000.0,residential_sale,1930.0,3.0,115.0,NOT_INSTALLED,0,False,True,True,597.0,3.0,False,TO_RENOVATE,F,50.8740806,4.2061065
10673998,KONINGIN FABIOLALAAN,10,0,0.0,Gent,9000,0,FLANDERS,Gent,MANSION,799000.0,residential_sale,0.0,7.0,413.0,0,0,True,True,0,244.0,2.0,0,GOOD,C,51.037345,3.7086185
10673997,KAPELLEDREEF,2B,0,0.0,Galmaarden,1570,0,FLANDERS,Halle-Vilvoorde,HOUSE,375000.0,residential_sale,0.0,4.0,234.0,0,0,True,0,0,0.0,2.0,0,GOOD,C,50.7543414,3.9445915
